CodeCommune;Code Région;Code Département;Commune;Région;Département;CodePostale;CodePostaleCorrigé;CodePostaleCorrigé;test
1179;84;1;GRIEGES;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1180;84;1;GRILLY;AUVERGNE RHONE ALPES;AIN;1220;1220;1220;'01220
1181;84;1;GROISSIAT;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1182;;;GROSLEE;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1183;84;1;GUEREINS;AUVERGNE RHONE ALPES;AIN;1090;1090;1090;'01090
1184;84;1;HAUTECOURT ROMANECHE;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1185;84;1;PLATEAU D HAUTEVILLE;AUVERGNE RHONE ALPES;AIN;1110;1110;1110;'01110
1185;;;HAUTEVILLE LOMPNES;#N/A;#N/A;1110;1110;1110;'01110
1186;;;HOSTIAZ;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1187;84;1;HAUT VALROMEY;AUVERGNE RHONE ALPES;AIN;1260;1260;1260;'01260
1188;84;1;ILLIAT;AUVERGNE RHONE ALPES;AIN;1140;1140;1140;'01140
1189;84;1;INJOUX GENISSIAT;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1190;84;1;INNIMOND;AUVERGNE RHONE ALPES;AIN;1680;1680;1680;'01680
1191;84;1;IZENAVE;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
1192;84;1;IZERNORE;AUVERGNE RHONE ALPES;AIN;1580;1580;1580;'01580
1193;84;1;IZIEU;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1194;84;1;JASSANS RIOTTIER;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1195;84;1;JASSERON;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1196;84;1;JAYAT;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1197;84;1;JOURNANS;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1198;84;1;JOYEUX;AUVERGNE RHONE ALPES;AIN;1800;1800;1800;'01800
1199;84;1;JUJURIEUX;AUVERGNE RHONE ALPES;AIN;1640;1640;1640;'01640
1200;84;1;LABALME;AUVERGNE RHONE ALPES;AIN;1450;1450;1450;'01450
1202;84;1;LAGNIEU;AUVERGNE RHONE ALPES;AIN;1150;1150;1150;'01150
1203;84;1;LAIZ;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1204;84;1;POIZAT LALLEYRIAT;AUVERGNE RHONE ALPES;AIN;1130;1130;1130;'01130
1204;;;LALLEYRIAT;#N/A;#N/A;1130;1130;1130;'01130
1205;;;LANCRANS;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1206;84;1;LANTENAY;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
